,Rho,PS
0,99.6,16.0
1,99.62,16.666666666666668
2,99.64,22.0
3,99.66,19.0
4,99.68,19.0
5,99.7,21.333333333333332
6,99.72,21.0
7,99.74,19.666666666666668
8,99.76,18.333333333333332
9,99.78,17.333333333333332
10,99.8,17.666666666666668
11,99.82,17.0
12,99.84,17.0
13,99.86,14.666666666666666
14,99.88,15.333333333333334
15,99.9,11.333333333333334
16,99.92,11.333333333333334
17,99.94,10.333333333333334
18,99.96,11.333333333333334
19,99.98,12.666666666666666
20,100.0,11.0
21,100.02,13.333333333333334
22,100.04,13.333333333333334
23,100.06,13.666666666666666
24,100.08,12.666666666666666
25,100.1,15.333333333333334
26,100.12,10.0
27,100.14,13.0
28,100.16,11.666666666666666
29,100.18,13.666666666666666
30,100.2,14.333333333333334
31,100.22,13.0
32,100.24,12.0
33,100.26,11.0
34,100.28,13.333333333333334
35,100.3,15.333333333333334
36,100.32,13.666666666666666
37,100.34,12.666666666666666
38,100.36,14.666666666666666
39,100.38,11.666666666666666
40,100.4,9.333333333333334
41,100.42,13.666666666666666
42,100.44,12.0
43,100.46,13.666666666666666
44,100.48,12.0
45,100.5,13.666666666666666
46,100.52,12.666666666666666
47,100.54,13.0
48,100.56,12.666666666666666
49,100.58,14.0
50,100.6,15.0
51,100.62,13.0
52,100.64,14.666666666666666
53,100.66,13.666666666666666
54,100.68,14.666666666666666
55,100.7,9.0
56,100.72,15.666666666666666
57,100.74,13.666666666666666
58,100.76,12.333333333333334
59,100.78,15.0
60,100.8,12.666666666666666
61,100.82,27.0
62,100.84,30.333333333333332
63,100.86,51.0
64,100.88,41.333333333333336
65,100.9,48.0
66,100.92,45.333333333333336
67,100.94,45.666666666666664
68,100.96,36.0
69,100.98,47.666666666666664
70,101.0,42.666666666666664
71,101.02,43.666666666666664
72,101.04,39.333333333333336
73,101.06,42.333333333333336
74,101.08,47.333333333333336
75,101.1,39.666666666666664
76,101.12,45.333333333333336
77,101.14,49.0
78,101.16,44.0
79,101.18,44.0
80,101.2,41.333333333333336
81,101.22,36.666666666666664
82,101.24,46.0
83,101.26,46.666666666666664
84,101.28,46.333333333333336
85,101.3,44.666666666666664
86,101.32,43.666666666666664
87,101.34,44.0
88,101.36,47.0
89,101.38,40.333333333333336
90,101.4,41.666666666666664
91,101.42,42.0
92,101.44,42.666666666666664
93,101.46,42.333333333333336
94,101.48,44.333333333333336
95,101.5,45.666666666666664
96,101.52,44.666666666666664
97,101.54,51.0
98,101.56,51.666666666666664
99,101.58,43.666666666666664
100,101.6,47.0
101,101.62,43.666666666666664
102,101.64,42.333333333333336
103,101.66,46.0
104,101.68,41.333333333333336
105,101.7,48.666666666666664
106,101.72,47.0
107,101.74,42.666666666666664
108,101.76,47.333333333333336
109,101.78,47.0
110,101.8,44.333333333333336
111,101.82,46.666666666666664
112,101.84,46.0
113,101.86,48.333333333333336
114,101.88,47.0
115,101.9,47.0
116,101.92,51.0
117,101.94,45.333333333333336
118,101.96,42.333333333333336
119,101.98,46.333333333333336
120,102.0,42.0
