,Sample_size,birth,death,diff
52,600,0.7021461129188538,0.7028743624687195,0.0007282495498657227
17,600,9.090909957885742,9.093363761901855,0.0024538040161132812
10,600,9.297232627868652,9.30693244934082,0.009699821472167969
19,600,8.516286849975586,8.526029586791992,0.00974273681640625
14,600,9.227434158325195,9.239672660827637,0.012238502502441406
26,600,2.419419527053833,2.433269023895264,0.013849496841431108
1,600,9.688340187072754,9.703431129455566,0.0150909423828125
9,600,9.322490692138672,9.347563743591309,0.02507305145263672
11,600,9.287878036499023,9.314449310302734,0.026571273803710938
21,600,8.443704605102539,8.470480918884277,0.02677631378173828
22,600,8.390202522277832,8.417363166809082,0.02716064453125
40,600,1.36673104763031,1.409199357032776,0.04246830940246604
5,600,9.608233451843262,9.651875495910645,0.04364204406738281
12,600,9.261834144592283,9.308409690856934,0.046575546264650214
13,600,9.231407165527344,9.284669876098633,0.05326271057128906
7,600,9.507954597473145,9.561700820922852,0.05374622344970703
44,600,1.283549666404724,1.3431336879730225,0.05958402156829856
27,600,2.3346469402313232,2.394667387008667,0.06002044677734375
43,600,1.3064682483673096,1.367788791656494,0.06132054328918435
39,600,1.4443202018737793,1.523585081100464,0.07926487922668479
3,600,9.626907348632812,9.718306541442873,0.09139919281006037
51,600,0.8060224056243896,0.9136125445365906,0.10759013891220093
38,600,1.517383337020874,1.625322937965393,0.10793960094451904
8,600,9.363447189331056,9.474315643310549,0.11086845397949219
50,600,0.9816632866859436,1.0980054140090942,0.11634212732315063
25,600,2.58298134803772,2.706371784210205,0.12339043617248491
36,600,1.6141732931137085,1.7420077323913574,0.12783443927764893
47,600,1.1649982929229736,1.293567419052124,0.1285691261291504
2,600,9.635210990905762,9.764994621276855,0.12978363037109375
45,600,1.2263604402542114,1.3615190982818604,0.13515865802764893
15,600,9.161872863769531,9.31330108642578,0.15142822265624822
46,600,1.2256333827972412,1.3887543678283691,0.16312098503112793
42,600,1.3594791889190674,1.5241707563400269,0.16469156742095947
23,600,8.383572578430176,8.54846477508545,0.16489219665527344
49,600,1.0162674188613892,1.1980913877487185,0.18182396888732932
6,600,9.55946922302246,9.781978607177734,0.2225093841552752
29,600,2.1327226161956787,2.365046739578247,0.23232412338256836
41,600,1.3625932931900024,1.6055837869644165,0.24299049377441406
31,600,2.0416460037231445,2.2947335243225098,0.25308752059936523
4,600,9.616878509521484,9.881114959716797,0.2642364501953125
34,600,1.8096303939819336,2.0812971591949463,0.2716667652130127
48,600,1.153523325920105,1.4273055791854858,0.27378225326538086
18,600,8.884570121765137,9.162912368774414,0.27834224700927734
20,600,8.47959041595459,8.788628578186035,0.3090381622314453
28,600,2.2161571979522705,2.602015256881714,0.38585805892944336
37,600,1.6020262241363523,1.988031029701233,0.3860048055648806
30,600,2.1254773139953613,2.5460634231567383,0.42058610916137695
32,600,1.8288301229476929,2.24977445602417,0.42094433307647705
35,600,1.731503963470459,2.186594247817993,0.4550902843475342
33,600,1.8151694536209104,2.429118633270264,0.6139491796493537
16,600,9.154224395751951,9.88535499572754,0.7311305999755895
24,600,8.315605163574219,26.59387588500977,18.27827072143555
0,600,11.902166366577148,60.900787353515625,48.99862098693848
