,Sample_size,birth,death,diff
1,200,10.722213745117188,10.761552810668944,0.039339065551756036
15,200,8.767831802368164,8.88661003112793,0.11877822875976562
17,200,2.58298134803772,2.706371784210205,0.12339043617248491
9,200,9.278650283813477,9.419733047485352,0.141082763671875
11,200,9.128580093383787,9.306084632873535,0.17750453948974787
10,200,9.140121459960938,9.329465866088867,0.1893444061279297
8,200,9.2855224609375,9.607105255126951,0.32158279418945135
7,200,9.438118934631348,9.782733917236328,0.34461498260498047
12,200,8.957989692687988,9.41811752319336,0.4601278305053711
4,200,9.66291046142578,10.12310028076172,0.46018981933594105
6,200,9.592446327209473,10.070570945739746,0.47812461853027344
14,200,8.778074264526367,9.27651023864746,0.498435974121092
16,200,8.571383476257324,9.29804229736328,0.7266588211059553
3,200,9.939297676086426,10.687644958496094,0.748347282409668
5,200,9.626907348632812,10.542390823364258,0.9154834747314453
2,200,10.238765716552734,11.370407104492188,1.1316413879394531
13,200,8.939299583435059,27.180747985839844,18.241448402404785
0,200,27.655820846557617,61.107215881347656,33.45139503479004
