,Sample_size,birth,death,diff
13,300,9.090909957885742,9.093363761901855,0.0024538040161132812
20,300,2.747064113616944,2.75423526763916,0.007171154022216353
8,300,9.33957576751709,9.34946060180664,0.009884834289550781
9,300,9.287878036499023,9.314449310302734,0.026571273803710938
14,300,9.077009201049805,9.13284683227539,0.05583763122558594
2,300,9.69832992553711,9.786937713623049,0.08860778808593928
6,300,9.40141773223877,9.51243495941162,0.11101722717284979
1,300,9.834158897399902,9.99461555480957,0.16045665740966797
24,300,1.2256333827972412,1.3887543678283691,0.16312098503112793
7,300,9.359207153320312,9.543746948242188,0.184539794921875
3,300,9.688340187072754,9.88535499572754,0.19701480865478693
10,300,9.28144073486328,9.480914115905762,0.19947338104248225
5,300,9.438118934631348,9.699926376342772,0.261807441711424
21,300,2.622072219848633,2.911986351013184,0.2899141311645512
11,300,9.161872863769531,9.455222129821776,0.2933492660522443
23,300,2.3709938526153564,2.6753361225128174,0.30434226989746094
4,300,9.626907348632812,10.072300910949709,0.4453935623168963
16,300,8.534872055053711,8.98891830444336,0.45404624938964844
15,300,9.041728019714355,9.545683860778809,0.5039558410644531
22,300,2.477010488510132,3.0510756969451904,0.5740652084350586
17,300,8.516286849975586,9.208122253417969,0.6918354034423828
18,300,8.383572578430176,9.14477825164795,0.7612056732177734
12,300,9.154224395751951,10.617384910583496,1.4631605148315447
19,300,8.37131118774414,26.6511287689209,18.279817581176758
0,300,19.204057693481445,61.01887893676758,41.81482124328613
